Identifiant,Bénéficiaire,Département,Nature du projet,Coût du projet,Subvention allouée,Parlementaire transmetteur,Nature,Département Parlementaire,Groupe politique du parlementaire
2011/1,ABBANS-DESSOUS,DOUBS,l'aménagement de l'accès à la station d'épuration et la pose d'une clôture,19743.5,9000.0,ACCOYER Bernard,Assemblée nationale,HAUTE-SAVOIE,UMP
2011/2,ABBECOURT,OISE,"la mise en sécurité du parking réservé au car scolaire, place de la Mairie",19787.0,9500.0,MARINI Philippe,Sénat,OISE,UMP
2011/3,ABBEVILLE-SAINT-LUCIEN,OISE,l'acquisition de tables et de bancs,2972.0,1400.0,LARCHER Gérard,Sénat,YVELINES,UMP
2011/4,ABELCOURT,HAUTE-SAONE,l'édification d'un columbarium,5525.48,2500.0,RAISON Michel,Assemblée nationale,HAUTE-SAONE,UMP
2011/5,ABLAINZEVELLE,PAS-DE-CALAIS,"la construction d'un bassin de rétention et d'infiltration, rue de Miraumont",56612.4,7000.0,VANLERENBERGHE Jean-Marie,Sénat,PAS-DE-CALAIS,UDI
2011/6,ABONCOURT,MOSELLE,"l'aménagement d'une aire de jeux, rue de Neudelange",90187.0,2000.0,ADNOT Philippe,Sénat,AUBE,NI
2011/7,ABONDANT,EURE-ET-LOIR,la réfection de la voirie rue de Dreux (tranche ferme) et rue de la Bourgeoiserie (tranche conditionnelle),248374.56,20000.0,HAMEL Gérard,Assemblée nationale,EURE-ET-LOIR,UMP
2011/8,ABONDANT,EURE-ET-LOIR,"l'aménagement de la voirie, rue de la Demoiselle(tranche conditionnelle)",9604.29,4800.0,Gouvernement,Réserve ministérielle,,
2011/9,ABONDANT,EURE-ET-LOIR,"l'aménagement de la voirie, rue de l'Echalier (tranche conditionnelle)",56592.33,20000.0,Gouvernement,Réserve ministérielle,,
2011/10,ABRIES,HAUTES-ALPES,la réfection des murs du soutènement de la voie communale,14450.0,6928.0,GIRAUD Joël,Assemblée nationale,HAUTES-ALPES,SRC
2011/11,ABZAC,GIRONDE,la construction d'une halle commerciale,975481.46,15000.0,Gouvernement,Réserve ministérielle,,
2011/12,ACCONS,ARDECHE,l'acquisition d'un terrain et l'aménagement des accès à la place publique et à l'aire de jeux,64017.22,20000.0,Gouvernement,Réserve ministérielle,,
2011/13,ACHAIN,MOSELLE,l'acquisition de matériel informatique et de logiciels de gestion pour le secrétariat de mairie,5207.18,1000.0,LEROY Philippe,Sénat,MOSELLE,UMP
2011/14,ACHERES,YVELINES,l'acquisition de tableaux numériques interactifs pour les écoles,15975.0,4792.0,TASCA Catherine,Sénat,YVELINES,SOC
2011/15,ACHEU-EN-VIMEU,SOMME,la restauration de la sacristie de l'église,13446.0,4000.0,ACCOYER Bernard,Assemblée nationale,HAUTE-SAVOIE,UMP
2011/16,ACHY,OISE,l'acquisition d'une lame de déneigement,4500.0,2250.0,DASSAULT Olivier,Assemblée nationale,OISE,UMP
2011/17,ACHY,OISE,l'acquisition d'une imprimante copieur multifonctions,5300.0,800.0,DASSAULT Olivier,Assemblée nationale,OISE,UMP
2011/18,ACHY,OISE,"l'acquisition d'une tente de type ""barnum RIVA""",3649.0,800.0,DASSAULT Olivier,Assemblée nationale,OISE,UMP
2011/19,ACHY,OISE,l'acquisition et l'installation d'alarmes dans les bâtiments communaux,2607.0,700.0,DASSAULT Olivier,Assemblée nationale,OISE,UMP
2011/20,ACHY,OISE,l'acquisition d'une tondeuse,1279.0,600.0,ADSSAULT Olivier,Assemblée nationale,MORBIHAN,SRC
2011/21,ACLOU,EURE,l'aménagement d'un site cinéraire,4130.0,2000.0,NICOLAS Jean-Pierre,Assemblée nationale,EURE,UMP
2011/22,ACLOU,EURE,l'installation de bornes à incendie,7520.0,2500.0,NICOLAS Jean-Pierre,Assemblée nationale,EURE,UMP
2011/23,ACLOU,EURE,"travaux d'éclairage public, impasse Mare Bonne",1324.27,600.0,PONIATOWSKI Ladislas,Sénat,EURE,UMP
2011/24,ACON,EURE,l'électrification des cloches de l'église,3257.0,1500.0,PONIATOWSKI Ladislas,Sénat,EURE,UMP
2011/25,ACQUIGNY,EURE,la construction d'une école élémentaire et l'aménagement d'un centre de loisirs,1785300.0,30000.0,Gouvernement,Réserve ministérielle,,
2011/26,ACY-EN-MULTIEN,OISE,"l'acquisition d'un tracteur, d'une débroussailleuse et d'un aspirateur de feuilles",16519.0,8000.0,MARINI Philippe,Sénat,OISE,UMP
2011/27,ADAINCOURT,MOSELLE,travaux de voirie et l'enfouissement des réseaux (1ère tranche),160688.05,10000.0,Gouvernement,Réserve ministérielle,,
2011/28,ADAINVILLE,YVELINES,la consolidation de l'enceinte du cimetière,33739.48,16000.0,PRIMAS Sophie,Assemblée nationale,YVELINES,UMP
2011/29,ADAM-LES-PASSAVANT,DOUBS,la réfection de la mairie,4000.57,1500.0,BONNOT Marcel,Assemblée nationale,DOUBS,UMP
2011/30,ADAM-LES-PASSAVANT,DOUBS,la mise en accessibilité de la future salle de classe et la pose d'une clôture aux abords,12252.56,1100.0,HUMBERT Jean-François,Sénat,DOUBS,UMP
2011/31,AGDE,HERAULT,l'opération de requalification du Centre Port du Cap d'Agde (1ère phase),2337000.0,80000.0,D'ETTORE Gilles,Assemblée nationale,HERAULT,UMP
2011/32,AGDE,HERAULT,la réfection du sol du gymnase Molinié,142140.0,30000.0,D'ETTORE Gilles,Assemblée nationale,HERAULT,UMP
2011/33,AGDE,HERAULT,"l'acquisition et l'aménagement d'un poste de secours, Plage des Battuts",41805.0,10000.0,D'ETTORE Gilles,Assemblée nationale,HERAULT,UMP
2011/34,AGEL,HERAULT,la réhabilitation de la station d'épuration et l'acquisition d'un terrain en vue de la construction d'une nouvelle station d'épuration,18577.0,7960.0,TROPEANO Robert,Sénat,HERAULT,RDSE
2011/35,AGENVILLERS,SOMME,la réfection de la toiture et des huisseries du bâtiment des services techniques,17645.0,1000.0,MATHON Gilbert,Assemblée nationale,SOMME,SRC
2011/36,AGINCOURT,MEURTHE-ET-MOSELLE,la mise en accessibilité de la mairie et de l'église et l'aménagement de sanitaires à la salle des fêtes,48756.66,10000.0,HENART Laurent,Assemblée nationale,MEURTHE-ET-MOSELLE,UMP
2011/37,AGINCOURT,MEURTHE-ET-MOSELLE,la mise en sécurité de la traversée du village,16165.36,8000.0,LARCHER Gérard,Sénat,YVELINES,UMP
2011/38,AGNAC,LOT-ET-GARONNE,la réfection du 1er étage de la mairie et la restauration de la toiture de l'église Saint-Saturnin,58790.41,10000.0,ACCOYER Bernard,Assemblée nationale,HAUTE-SAVOIE,UMP
2011/39,AGNETZ,OISE,la mise en accessibilité du château aux personnes handicapées et l'aménagement de réseaux d'évacuation des eaux pluviales,320761.23,100000.0,Gouvernement,Réserve ministérielle,,
2011/40,AGNICOURT-SECHELLES,AISNE,la restructuration des cimetières,12382.99,6000.0,LE TEXIER Raymonde,Sénat,VAL-D'OISE,SOCV
2011/41,AGRIS,CHARENTE,la réhabilitation d'une grange en bibliothèque,268888.33,10000.0,MARC François,Sénat,FINISTERE,SOC
2011/42,AGUESSAC,AVEYRON,"la réfection de la rue de la Calade et de la rue et du parking du lotissement ""Plan du Foirail""",25523.75,5000.0,HERVIAUX Odette,Sénat,MORBIHAN,SOC
2011/43,AHEVILLE,VOSGES,"la réfection de la voie communale n°3 ""Chemin de Velotte""",185615.0,6000.0,GAULTIER Jean-Jacques,Assemblée nationale,VOSGES,UMP
2011/44,AHUILLE,MAYENNE,l'aménagement paysager et urbain du centre-bourg (programmes 2012-2013),650348.12,40000.0,ARTHUIS Jean,Sénat,MAYENNE,UDI
2011/45,AHUY,COTE-D'OR,la construction d'un bâtiment de stockage et de garages communaux (2ème phase),255780.66,25000.0,DEPIERRE Bernard,Assemblée nationale,COTE-D'OR,UMP
2011/46,AIBRE,DOUBS,la réfection de la fontaine située grande rue,13437.67,2000.0,BONNOT Marcel,Assemblée nationale,DOUBS,UMP
2011/47,AIGREMONT,GARD,la réfection de la voirie et le curage de ruisseaux (programme 2011),111961.72,8000.0,DUMAS William,Assemblée nationale,GARD,SRC
2011/48,AIGREMONT,YONNE,"l'aménagement de la mairie, l'implantation d'un atelier communal et la création d'un parking au cimetière",41969.32,17552.0,ROLLAND Jean-Marie,Assemblée nationale,YONNE,UMP
2011/49,AIGREMONT,YONNE,"l'aménagement de la place du Puits Bayard, du terrain de football et d'un accès handicapés à l'église",86281.96,22470.0,ROLLAND Jean-Marie,Assemblée nationale,YONNE,UMP
2011/50,AIGREMONT,YONNE,la restauration de l'église Notre-Dame-de-la-Nativité (2ème tranche),120000.0,15000.0,Gouvernement,Réserve ministérielle,,
2011/51,AILLANT-SUR-MILLERON,LOIRET,la réhabilitation du lavoir communal,38791.64,5000.0,SUEUR Jean-Pierre,Sénat,LOIRET,SOC
2011/52,AILLEVILLERS-ET-LYAUMONT,HAUTE-SAONE,"l'acquisition de l'ancienne usine Magisac, l'aménagement des locaux et l'installation d'une chaufferie bois avec silo (1ère tranche)",957542.0,40000.0,Gouvernement,Réserve ministérielle,,
2011/53,AILLIANVILLE,HAUTE-MARNE,la réfection et l'extension de la salle polyvalente,38481.5,5000.0,CORNUT-GENTILLE François,Assemblée nationale,HAUTE-MARNE,UMP
2011/54,AILLIERES-BEAUVOIR,SARTHE,l'aménagement de la traversée du bourg,265000.0,30000.0,Gouvernement,Réserve ministérielle,,
2011/55,AILLIERES-BEAUVOIR,SARTHE,travaux d'amélioration énergétique,30218.38,10000.0,Gouvernement,Réserve ministérielle,,
2011/56,AIMARGUES,GARD,l'acquisition d'une sculpture représentant Fanfonne Guillierme et ses bious d'or,16000.0,7000.0,PEYRONNET Jean-Claude,Sénat,HAUTE-VIENNE,SOC
2011/57,AINAY-LE-CHATEAU,ALLIER,la restauration des remparts (tranches 2010 et 2011),930000.0,60000.0,Gouvernement,Réserve ministérielle,,
2011/58,AINCOURT,VAL-D'OISE,la réfection de la route de Brunel,24400.0,7500.0,ANGELS Bernard,Sénat,VAL-D'OISE,SOCV
2011/59,AINGERAY,MEURTHE-ET-MOSELLE,"l'aménagement de la ""Côte du Four""",129650.0,3000.0,PANIS Jacqueline,Sénat,MEURTHE-ET-MOSELLE,UMP
2011/60,AINGEVILLE,VOSGES,"la réfection des toitures du lavoir, de la mairie et du bûcher",35736.78,3000.0,PIERRE Jackie,Sénat,VOSGES,UMP
2011/61,AIRAINES,SOMME,la réfection d'un muret et de piliers situés à l'entrée de l'église,11126.0,5563.0,BIGNON Jérôme,Assemblée nationale,SOMME,UMP
2011/62,AIRAN,CALVADOS,travaux d'assainissement pluvial (RD 43),10380.0,1038.0,COUSIN Jean-Yves,Assemblée nationale,CALVADOS,UMP
2011/63,AIREL,MANCHE,l'isolation extérieure de l'école,12975.08,5000.0,GOSSELIN Philippe,Assemblée nationale,MANCHE,UMP
2011/64,AIRE-SUR-LA-LYS,PAS-DE-CALAIS,la restauration de la balustrade du Beffroi,359783.65,10000.0,LEFAIT Michel,Assemblée nationale,PAS-DE-CALAIS,SRC
2011/65,AISEREY,COTE-D'OR,la réfection du local des pompiers,52418.98,9809.0,REBSAMEN François,Sénat,COTE-D'OR,SOC
2011/66,AIX-EN-DIOIS,DROME,le réaménagement de la salle polyvalente socio- culturelle,186730.0,10000.0,MARITON Hervé,Assemblée nationale,DROME,UMP
2011/67,AIX-EN-ISSART,PAS-DE-CALAIS,la construction d'un bâtiment à usage de quillier,86749.96,3000.0,FASQUELLE Daniel,Assemblée nationale,PAS-DE-CALAIS,UMP
2011/68,AIX-EN-PROVENCE,BOUCHES-DU-RHONE,la construction d'une Maison des familles dans le quartier Corsy,629850.0,50000.0,JOISSAINS Sophie,Sénat,BOUCHES-DU-RHONE,UMP
2011/69,AIX-NOULETTE,PAS-DE-CALAIS,la construction d'un bâtiment destiné à l'accueil de loisirs des jeunes enfants et à la restauration scolaire,1110000.0,5000.0,KUCHEIDA Jean-Pierre,Assemblée nationale,PAS-DE-CALAIS,SRC
2011/70,AIZAC,ARDECHE,la restauration de l'église (programme 2011),10544.08,3000.0,ACCOYER Bernard,Assemblée nationale,HAUTE-SAVOIE,UMP
2011/71,AIZELLES,AISNE,l'aménagement de la rue de la Vieille Route,30000.0,8000.0,DOSIERE René,Assemblée nationale,AISNE,SRC
2011/72,AIZIER,EURE,"l'acquisition de la ""Maison Le Pallec"" en vue de la création d'un restaurant",128100.0,7000.0,BOURDIN Joël,Sénat,EURE,UMP
2011/73,ALAIRAC,AUDE,"la réhabilitation des trottoirs situés ""Rond Saint- Germain""",41245.0,20000.0,HERVIAUX Odette,Sénat,MORBIHAN,SOC
2011/74,ALBARET-SAINTE-MARIE,LOZERE,l'extension de l'école primaire de La Garde (tranche complémentaire),57529.54,10000.0,Gouvernement,Réserve ministérielle,,
2011/75,ALBEPIERRE-BREDONS,CANTAL,l'aménagement d'une voie communale dans le bourg d'Albepierre,71736.0,10000.0,MARLEIX Alain,Assemblée nationale,CANTAL,UMP
2011/76,ALBESTROFF,MOSELLE,l'aménagement de places publiques,208549.92,20000.0,Gouvernement,Réserve ministérielle,,
2011/77,ALBESTROFF,MOSELLE,la réfection de l'escalier extérieur de la mairie et l'aménagement d'une rampe d'accès destinée aux personnes à mobilité réduite,8848.65,3539.0,TODESCHINI Jean-Marc,Sénat,MOSELLE,SOC
2011/78,ALBON,DROME,la construction d'un groupe scolaire et d'une cantine,1799400.0,10000.0,THORAVAL Marie-Hélène,Assemblée nationale,DROME,UMP
2011/79,ALES,GARD,la rénovation et l'extension de la salle polyvalente située rue Jules Cazot,705681.0,49500.0,ROUSTAN Max,Assemblée nationale,GARD,UMP
2011/80,ALINCTHUN,PAS-DE-CALAIS,l'équipement de la cantine scolaire,50000.0,8000.0,SERGENT Michel,Sénat,PAS-DE-CALAIS,SOCV
2011/81,ALLAIRE,MORBIHAN,la sécurisation de la RD 775 en agglomération (tranche ferme),625506.0,10000.0,BOUVARD Loïc,Assemblée nationale,MORBIHAN,UMP
2011/82,ALLAIRE,MORBIHAN,la restauration de la ferme de Coueslé (tranches ferme et conditionnelle),858461.0,15000.0,HERVIAUX Odette,Sénat,MORBIHAN,SOC
2011/83,ALLARMONT,VOSGES,l'aménagement d'un parking et d'un hangar aux abords de la salle socio-culturelle,109671.01,50000.0,CHERPION Gérard,Assemblée nationale,VOSGES,UMP
2011/84,ALLEINS,BOUCHES-DU-RHONE,le déplacement de l'oratoire Saint-Roch,8020.5,3000.0,REYNES Bernard,Assemblée nationale,BOUCHES-DU-RHONE,UMP
2011/85,ALLEMANS-DU-DROPT,LOT-ET-GARONNE,la restauration de l'église Saint-Eutrope (tranches ferme et conditionnelle 1),315697.23,40000.0,DIEFENBACHER Michel,Assemblée nationale,LOT-ET-GARONNE,UMP
2011/86,ALLEMANT,MARNE,l'électrification des cloches de l'église,3974.25,1000.0,OUDIT Mireille,Sénat,MARNE,UMP
2011/87,ALLENNES-LES-MARAIS,NORD,l'extension de la mairie,1129361.6,30000.0,Gouvernement,Réserve ministérielle,,
2011/88,ALLEUZE,CANTAL,travaux connexes au remembrement,389989.08,22000.0,Gouvernement,Réserve ministérielle,,
2011/89,ALLINEUC,COTES-D'ARMOR,la réhabilitation du foyer logement,376368.16,30000.0,ACCOYER Bernard,Assemblée nationale,HAUTE-SAVOIE,UMP
2011/90,ALLONDRELLE-LA-MALMAISON,MEURTHE-ET-MOSELLE,la réfection et la mise en conformité de la mairie annexe de La-Malmaison,137471.79,10000.0,Gouvernement,Réserve ministérielle,,
2011/91,ALLONNE,OISE,"l'implantation, au stade de football, de modules à usage de vestiaires",81839.22,30000.0,MANCEL Jean-François,Assemblée nationale,OISE,UMP
2011/92,ALLONNES,MAINE-ET-LOIRE,la restructuration et la mise aux normes des sanitaires de l'école élémentaire du groupe scolaire Jules Ferry,223923.28,10000.0,TAUGOURDEAU Jean-Charles,Assemblée nationale,MAINE-ET-LOIRE,UMP
2011/93,ALLONZIER-LA-CAILLE,HAUTE-SAVOIE,la construction d'un local pour les services techniques,147142.93,50000.0,ACCOYER Bernard,Assemblée nationale,HAUTE-SAVOIE,UMP
2011/94,ALLOUVILLE-BELLEFOSSE,SEINE-MARITIME,l'aménagement du centre bourg (2ème tranche),391950.66,10000.0,ACCOYER Bernard,Assemblée nationale,HAUTE-SAVOIE,UMP
2011/95,ALLY,CANTAL,l'équipement numérique de l'école,13622.0,6500.0,MARLEIX Alain,Assemblée nationale,CANTAL,UMP
2011/96,ALLY,CANTAL,la réhabilitation et la mise aux normes de la salle des fêtes,350000.0,15000.0,Gouvernement,Réserve ministérielle,,
2011/97,ALMENECHES,ORNE,la restauration de l'Abbatiale Sainte-Opportune (1ère tranche),406975.0,2500.0,GOULET Nathalie,Sénat,ORNE,UDI
2011/98,ALPUECH,AVEYRON,la réfection du mur de soutènement de la mairie,9160.0,3500.0,CENSI Yves,Assemblée nationale,AVEYRON,UMP
2011/99,ALPUECH,AVEYRON,la réfection de la voirie dans le bourg (programme 2011),10900.0,4000.0,CENSI Yves,Assemblée nationale,AVEYRON,UMP
2011/100,ALPUECH,AVEYRON,la réfection de la voirie au hameau de Bouges,6657.5,2500.0,CENSI Yves,Assemblée nationale,AVEYRON,UMP
2011/101,ALSTING,MOSELLE,la mise aux normes de l'école primaire et son regroupement avec l'école maternelle,1075680.94,10000.0,LANG Pierre,Assemblée nationale,MOSELLE,UMP
2011/102,ALSTING,MOSELLE,l'aménagement d'une cantine scolaire dans l'ancien presbytère,220073.23,2000.0,MASSON Jean-Louis,Sénat,,
2011/103,ALSTING,MOSELLE,"la réhabilitation de la cuisine, à la salle polyvalente",55610.0,5561.0,TODESCHINI Jean-Marc,Sénat,MOSELLE,SOC
2011/104,ALTIER,LOZERE,l'acquisition d'un transporteur à chenilles,4300.0,2150.0,SAINT-LEGER Francis,Assemblée nationale,LOZERE,UMP
2011/105,ALTORF,BAS-RHIN,la réhabilitation et l'extension de la mairie,884210.97,10000.0,FERRY Alain,Assemblée nationale,BAS-RHIN,UMP
2011/106,ALTVILLER,MOSELLE,l'extension de la nouvelle salle d'éveil et de jeux et l'isolation des anciens bâtiments du groupe scolaire,353184.0,10000.0,Gouvernement,Réserve ministérielle,,
2011/107,ALVIMARE,SEINE-MARITIME,l'aménagement du centre-bourg,79063.0,800.0,FIDELIN Daniel,Assemblée nationale,SEINE-MARITIME,UMP
2011/108,ALZING,MOSELLE,"le prolongement des trottoirs de la rue de Bouzonville, côté pair",33290.25,5000.0,MASSERET Jean-Pierre,Sénat,MOSELLE,SOCV
2011/109,AMAGE,HAUTE-SAONE,l'aménagement de la traversée du village (1ère tranche),82535.0,10000.0,PEYRONNET Jean-Claude,Sénat,HAUTE-VIENNE,SOC
2011/110,AMANGE,JURA,"la restauration du tableau de l'église ""Reconversion de Saint-Paul""",12306.91,2461.0,BARBIER Gilbert,Sénat,JURA,RDSE
2011/111,AMANVILLERS,MOSELLE,"la requalification de la RD 51, route de Lorry, et de la rue des Carrières",505621.2,4000.0,FILIPPETTI Aurélie,Assemblée nationale,MOSELLE,SRC
2011/112,AMANVILLERS,MOSELLE,l'acquisition de mobilier d'ornement,10179.25,5000.0,TODESCHINI Jean-Marc,Sénat,MOSELLE,SOC
2011/113,AMAYE-SUR-ORNE,CALVADOS,"l'aménagement de trottoirs, rue des Pommiers",37958.2,3800.0,COUSIN Jean-Yves,Assemblée nationale,CALVADOS,UMP
2011/114,AMAYE-SUR-ORNE,CALVADOS,la rénovation de terrains de tennis,6900.0,700.0,COUSIN Jean-Yves,Assemblée nationale,CALVADOS,UMP
2011/115,AMBARES-ET-LAGRAVE,GIRONDE,la restauration du pigeonnier du Guâ,30217.6,15108.0,LACUEY Conchita,Assemblée nationale,GIRONDE,SRC
2011/116,AMBEL,ISERE,la construction d'une station de traitement des eaux usées,197472.0,15000.0,FAURE Jean,Sénat,ISERE,UMP
2011/117,AMBERIEUX-D'AZERGUES,RHONE,la construction d'un bâtiment communal regroupant des logements et des surfaces commerciales,812498.0,20000.0,PERRUT Bernard,Assemblée nationale,RHONE,UMP
2011/118,AMBERIEUX-EN-DOMBES,AIN,"travaux de réfection de l'entrée, du couloir et de la salle d'activités de l'école",19000.0,4000.0,VOISIN Michel,Assemblée nationale,AIN,UMP
2011/119,AMBERT,PUY-DE-DOME,l'acquisition de mobilier et de matériel pour l'espace culturel multi-activités,17516.89,8700.0,CHASSAIGNE André,Assemblée nationale,PUY-DE-DOME,GDR
2011/120,AMBIEVILLERS,HAUTE-SAONE,la connexion du réseau communal à celui du syndicat des eaux du Morillon et la mise aux normes du château d'eau,156161.36,12000.0,Gouvernement,Réserve ministérielle,,
2011/121,AMBLAINVILLE,OISE,l'aménagement des abords de l'église,52417.45,15000.0,MARINI Philippe,Sénat,OISE,UMP
2011/122,AMBLEVILLE,VAL-D'OISE,la réfection des peintures intérieures de la salle des fêtes,5529.0,2764.0,HOUILLON Philippe,Assemblée nationale,VAL-D'OISE,UMP
2011/123,AMBLEVILLE,VAL-D'OISE,le remplacement de la porte d'entrée du secrétariat de la mairie,2962.41,1480.0,PORTELLI Hugues,Sénat,VAL-D'OISE,UMP
2011/124,AMBRAULT,INDRE,l'aménagement paysager des jardins publics de la mairie et de Boisramier,86483.82,5000.0,PINTON Louis,Sénat,INDRE,UMP
2011/125,AMBRIEF,AISNE,l'aménagement des réseaux (3ème tranche),53134.11,5000.0,LEFEVRE Antoine,Sénat,AISNE,UMP
2011/126,AMBRINES,PAS-DE-CALAIS,"l'aménagement de trottoirs, rues de Magnicourt et de Maizières, la création d'un parking au cimetière et la réfection du chemin de Penin et de la Petite Rue",27991.25,10000.0,VANLERENBERGHE Jean-Marie,Sénat,PAS-DE-CALAIS,UDI
2011/127,AMBUTRIX,AIN,la construction d'une nouvelle mairie,388947.15,15000.0,de la VERPILLIERE Charles,Assemblée nationale,AIN,UMP
2011/128,AMENONCOURT,MEURTHE-ET-MOSELLE,l'isolation de la façade ouest de la salle des fêtes,19856.0,4000.0,LARCHER Gérard,Sénat,YVELINES,UMP
2011/129,AMENONCOURT,MEURTHE-ET-MOSELLE,la réfection du calvaire situé route d'Autrepierre,10827.62,2000.0,PANIS Jacqueline,Sénat,MEURTHE-ET-MOSELLE,UMP
2011/130,AMFREVILLE-SUR-ITON,EURE,la restauration de l'église (1ère tranche),170084.66,16000.0,BOURDIN Joël,Sénat,EURE,UMP
2011/131,AMIFONTAINE,AISNE,la réfection du château d'eau,84164.42,5000.0,LEFEVRE Antoine,Sénat,AISNE,UMP
2011/132,AMILLY,EURE-ET-LOIR,l'aménagement de la cour de l'école maternelle,104914.34,5000.0,CORNU Gérard,Sénat,EURE-ET-LOIR,UMP
2011/133,AMMERSCHWIHR,HAUT-RHIN,l'aménagement des espaces publics centraux,1688783.0,30000.0,Gouvernement,Réserve ministérielle,,
2011/134,AMNE-EN-CHAMPAGNE,SARTHE,l'installation d'éclairage public rue Principale et rue de la Maison Neuve et la construction d'un réseau d'eaux pluviales rue Principale,60950.0,25000.0,Gouvernement,Réserve ministérielle,,
2011/135,AMOROTS-SUCCOS,PYRENEES-ATLANTIQUES,l'aménagement du bourg d'Amorots,227395.46,5000.0,BOROTRA Didier,Sénat,PYRENEES-ATLANTIQUES,UC
2011/136,AMPOIGNE,MAYENNE,l'acquisition d'un tracteur avec équipements,35180.0,6000.0,ARTHUIS Jean,Sénat,MAYENNE,UDI
2011/137,ANCE,PYRENEES-ATLANTIQUES,la restructuration et le renforcement du réseau d'eau potable,297000.0,20000.0,JARRAUD-VERGNOLLE Annie,Sénat,PYRENEES-ATLANTIQUES,SOCV
2011/138,ANCENIS,LOIRE-ATLANTIQUE,la construction et l'aménagement d'équipements sportifs et de loisirs dans le quartier Pressoir-Rouge Bois Jauni,904242.1,20000.0,PAPON Monique,Sénat,LOIRE-ATLANTIQUE,UMP
2011/139,ANCONE,DROME,"le réaménagement du Club du 3ème âge et de l'agence postale communale dits ""Les Bateliers""",13155.95,6000.0,BOULAUD Didier,Sénat,NIEVRE,SOC
2011/140,ANCOURT,SEINE-MARITIME,la réhabilitation d'un bâtiment communal en local technique,83400.0,5000.0,HUREL Sandrine,Assemblée nationale,SEINE-MARITIME,SRC
2011/141,ANCY-SUR-MOSELLE,MOSELLE,l'aménagement de logements locatifs au-dessus de l'école primaire,147750.6,5000.0,TODESCHINI Jean-Marc,Sénat,MOSELLE,SOC
2011/142,ANDANCE,ARDECHE,l'inscription et la mise en lumière du nom de la commune sur le mur soutenant le belvédère situé en bordure du Rhône,3742.55,1870.0,MARC François,Sénat,FINISTERE,SOC
2011/143,ANDELARRE,HAUTE-SAONE,l'aménagement des réseaux d'eau potable et d'assainissement (tranches ferme et conditionnelle),526000.0,3000.0,JOYANDET Alain,Assemblée nationale,HAUTE-SAONE,UMP
2011/144,ANDELNANS,TERRITOIRE DE BELFORT,"la construction d'un mur de soutènement, rue de Danjoutin",24300.0,12000.0,ACCOYER Bernard,Assemblée nationale,HAUTE-SAVOIE,UMP
2011/145,ANDELNANS,TERRITOIRE DE BELFORT,la mise en sécurité des abords de l'école de Froideval,51446.0,15000.0,Gouvernement,Réserve ministérielle,,
2011/146,ANDELOT-BLANCHEVILLE,HAUTE-MARNE,travaux d'embellissement du village,191864.0,6000.0,CORNUT-GENTILLE François,Assemblée nationale,HAUTE-MARNE,UMP
2011/147,ANDELU,YVELINES,la rénovation des linteaux et du plancher de la mairie,27979.12,13000.0,PRIMAS Sophie,Assemblée nationale,YVELINES,UMP
2011/148,ANDEVILLE,OISE,l'aménagement des abords de l'église,48000.0,7000.0,MARINI Philippe,Sénat,OISE,UMP
2011/149,ANDILLAC,TARN,l'aménagement sécuritaire du carrefour du Pausadou,75182.5,15000.0,Gouvernement,Réserve ministérielle,,
2011/150,ANDILLY,MEURTHE-ET-MOSELLE,l'acquisition de mobilier pour la nouvelle mairie,7999.72,3800.0,BOULAUD Didier,Sénat,NIEVRE,SOC
2011/151,ANDILLY,HAUTE-SAVOIE,la réfection de la charpente et de la toiture de la mairie et la création d'un local destiné aux archives,69064.01,15000.0,CARLE Jean-Claude,Sénat,HAUTE-SAVOIE,UMP
2011/152,ANDIRAN,LOT-ET-GARONNE,l'aménagement du village,55355.74,7650.0,SOULAGE Daniel,Sénat,LOT-ET-GARONNE,UC
2011/153,ANDOLSHEIM,HAUT-RHIN,l'édification d'un columbarium,26046.28,5000.0,LARCHER Gérard,Sénat,YVELINES,UMP
2011/154,ANDON,ALPES-MARITIMES,l'aménagement de la terrasse de la mairie annexe de Thorenc,34181.2,10254.0,TABAROT Michèle,Assemblée nationale,ALPES-MARITIMES,UMP
2011/155,ANDON,ALPES-MARITIMES,l'acquisition d'un podium,4290.0,2145.0,RAOUL Daniel,Sénat,MAINE-ET-LOIRE,SOC
2011/156,ANDRESY,YVELINES,l'acquisition de tableaux numériques interactifs pour les écoles élémentaires,19860.0,5958.0,ACCOYER Bernard,Assemblée nationale,HAUTE-SAVOIE,UMP
2011/157,ANDRESY,YVELINES,"la réfection du bâtiment ""Le Moussel""",87325.62,20000.0,LARCHER Gérard,Sénat,YVELINES,UMP
2011/158,ANDREZE,MAINE-ET-LOIRE,la construction et l'équipement mobilier d'une école publique,480000.0,10000.0,LARCHER Gérard,Sénat,YVELINES,UMP
2011/159,ANERES,HAUTES-PYRENEES,l'installation de ralentisseurs sur le chemin de la Poutge,13394.4,1500.0,LARCHER Gérard,Sénat,YVELINES,UMP
2011/160,ANERES,HAUTES-PYRENEES,"l'installation d'une défense incendie au lieu-dit ""Débat la Bielle""",3890.0,1000.0,LARCHER Gérard,Sénat,YVELINES,UMP
2011/161,ANET,EURE-ET-LOIR,la construction d'une salle de spectacles,3500000.0,150000.0,Gouvernement,Réserve ministérielle,,
